County Code,District Code,School Code,Filler,Test Year,Type Id,County Name,District Name,School Name,Zip Code
19,0,0,,2019,5,Los Angeles,,,     
19,10199,0,,2019,6,Los Angeles,Los Angeles County Office of Education,,     
19,10199,100776,,2019,9,Los Angeles,North Valley Military Institute College,North Valley Military Institute College Preparator,91352
19,10199,109660,,2019,9,Los Angeles,Aspire Antonio Maria Lugo Academy,Aspire Antonio Maria Lugo Academy,90255
19,10199,109942,,2019,9,Los Angeles,Los Angeles International Charter High,Los Angeles International Charter High,90042
19,10199,112128,,2019,9,Los Angeles,Aspire Ollin University Preparatory Acad,Aspire Ollin University Preparatory Academy,90255
19,10199,115030,,2019,9,Los Angeles,Magnolia Science Academy 3,Magnolia Science Academy 3,90746
19,10199,115212,,2019,9,Los Angeles,Magnolia Science Academy 2,Magnolia Science Academy 2,91406
19,10199,121772,,2019,9,Los Angeles,Environmental Charter Middle,Environmental Charter Middle,90247
19,10199,121822,,2019,7,Los Angeles,Los Angeles County Office of Education,"Nidorf, Barry J.",91342
19,10199,121871,,2019,7,Los Angeles,Los Angeles County Office of Education,Los Padrinos Juvenile Hall,90242
19,10199,121897,,2019,7,Los Angeles,Los Angeles County Office of Education,Central Juvenile Hall,90033
19,10199,121905,,2019,7,Los Angeles,Los Angeles County Office of Education,"Kirby, Dorothy Camp",90040
19,10199,121921,,2019,7,Los Angeles,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,91750
19,10199,121939,,2019,7,Los Angeles,Los Angeles County Office of Education,"Rockey, Glenn Camp",91773
19,10199,121954,,2019,7,Los Angeles,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,90265
19,10199,121988,,2019,7,Los Angeles,Los Angeles County Office of Education,"Scott, Joseph Camp",91390
19,10199,122028,,2019,7,Los Angeles,Los Angeles County Office of Education,Onizuka Camp,93536
19,10199,122036,,2019,7,Los Angeles,Los Angeles County Office of Education,McNair Camp,93536
19,10199,123604,,2019,7,Los Angeles,Los Angeles County Office of Education,Phoenix Academy Residential Education Center,91342
19,10199,127498,,2019,9,Los Angeles,Environmental Charter Middle - Inglewood,Environmental Charter Middle - Inglewood,90303
19,10199,127522,,2019,9,Los Angeles,Optimist Charter,Optimist Charter,90042
19,10199,128025,,2019,9,Los Angeles,Lashon Academy,Lashon Academy,91405
19,10199,132605,,2019,9,Los Angeles,Valiente College Preparatory Charter,Valiente College Preparatory Charter,90280
19,10199,134346,,2019,9,Los Angeles,Intellectual Virtues Academy,Intellectual Virtues Academy,90813
19,10199,134361,,2019,9,Los Angeles,LA's Promise Charter Middle #1,LA's Promise Charter Middle #1,90062
19,10199,135368,,2019,9,Los Angeles,Alma Fuerte Public,Alma Fuerte Public,91001
19,10199,137679,,2019,9,Los Angeles,Magnolia Science Academy 5,Magnolia Science Academy 5,91335
19,10199,138669,,2019,9,Los Angeles,Da Vinci RISE High,Da Vinci RISE High,90245
