NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR
060000103278,0600001,Vasquez High,06,33630 Red Rover Mine Rd.,Acton,CA,93510,06,06037,Los Angeles County,41,34.4936,-118.2161,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2019-2020
060000107534,0600001,Meadowlark Elementary,06,3015 W. Sacramento St.,Acton,CA,93510,06,06037,Los Angeles County,42,34.4743,-118.1856,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2019-2020
060000109444,0600001,High Desert,06,3620 Antelope Woods Rd.,Acton,CA,93510,06,06037,Los Angeles County,41,34.4914,-118.1947,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0625,06036,06021,2019-2020
060002503570,0600025,Aurelia Pennekamp Elementary,06,110 S. Rowell,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.8788,-118.389,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060002503573,0600025,Grand View Elementary,06,455 24th St.,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.8944,-118.4126,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060002503575,0600025,Meadows Avenue Elementary,06,1200 Meadows Ave.,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.8889,-118.3911,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060002503576,0600025,Pacific Elementary,06,1200 Pacific Ave.,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.8895,-118.4028,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060002505922,0600025,Opal Robinson Elementary,06,80 Morningside Dr.,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.8779,-118.4043,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060002506328,0600025,Mira Costa High,06,1401 Artesia Blvd.,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.8747,-118.3894,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060002507535,0600025,Manhattan Beach Middle,06,1501 N. Redondo Ave.,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.8896,-118.3837,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060002513480,0600025,Manhattan Beach Preschool,06,1431 15th St.,Manhattan Beach,CA,90266,06,06037,Los Angeles County,21,33.889,-118.3884,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003202227,0600032,Patricia Dreizler Continuation High,06,1000 Del Amo St.,Redondo Beach,CA,90277,06,06037,Los Angeles County,21,33.84775,-118.380438,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204949,0600032,Adams Middle,06,2600 Ripley Ave.,Redondo Beach,CA,90278,06,06037,Los Angeles County,21,33.866015,-118.363886,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204950,0600032,Alta Vista Elementary,06,815 Knob Hill Ave.,Redondo Beach,CA,90277,06,06037,Los Angeles County,21,33.828888,-118.378426,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204951,0600032,Beryl Heights Elementary,06,920 Beryl St.,Redondo Beach,CA,90277,06,06037,Los Angeles County,21,33.852045,-118.383842,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204952,0600032,Birney Elementary,06,1600 Green Ln.,Redondo Beach,CA,90278,06,06037,Los Angeles County,21,33.869541,-118.376321,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204955,0600032,Parras (Nick G.) Middle,06,200 N. Lucia,Redondo Beach,CA,90277,06,06037,Los Angeles County,21,33.845065,-118.377719,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204956,0600032,Jefferson Elementary,06,600 Harkness Ln.,Redondo Beach,CA,90278,06,06037,Los Angeles County,21,33.860425,-118.380208,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204957,0600032,Lincoln Elementary,06,2223 Plant Ave.,Redondo Beach,CA,90278,06,06037,Los Angeles County,21,33.881648,-118.371034,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
060003204958,0600032,Madison Elementary,06,2200 MacKay Ln.,Redondo Beach,CA,90278,06,06037,Los Angeles County,21,33.875187,-118.367929,31080,"Los Angeles-Long Beach-Anaheim, CA",1,348,"Los Angeles-Long Beach, CA",N,N,0633,06066,06026,2019-2020
