schoolcode,zip,academicyear,aggregatelevel,countycode,districtcode,countyname,districtname,schoolname,charterschool,dass,reportingcategory,cohortstudents,regular_hs_diploma_graduates_count,regular_hs_diploma_graduates_rate,met_uc_csu_grad_reqs_count,met_uc_csu_grad_reqs_rate,seal_of_biliteracy_count,seal_of_biliteracy_rate,golden_state_seal_merit_diploma_count,golden_state_seal_merit_diploma_rate,chspe_completer_count,chspe_completer_rate,adult_ed_hs_diploma_count,adult_ed_hs_diploma_rate,sped_certificate_count,sped_certificate_rate,ged_completer_count,ged_completer_rate,other_transfer_count,other_transfer_rate,dropout_count,dropout_rate,still_enrolled_count,still_enrolled_rate
100776,91352,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,All,All,TA,69,65,94.2,65,100,7,10.8,8,12.3,0,0,0,0,0,0,0,0,2,2.9,0,0,2,2.9
109942,90042,2019-20,S,19,77289,Los Angeles,SBE - Los Angeles College Prep Academy,Los Angeles College Prep Academy,All,All,TA,37,25,67.6,25,100,0,0,0,0,0,0,0,0,1,2.7,0,0,1,2.7,4,10.8,6,16.2
112128,90255,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,All,All,TA,78,74,94.9,60,81.1,17,23,17,23,0,0,0,0,0,0,0,0,0,0,1,1.3,3,3.8
115030,90746,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,All,All,TA,55,53,96.4,51,96.2,3,5.7,10,18.9,0,0,0,0,0,0,0,0,0,0,2,3.6,0,0
115212,91406,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,All,All,TA,40,38,95.0,35,92.1,2,5.3,13,34.2,0,0,0,0,0,0,0,0,0,0,2,5,0,0
121921,91750,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,All,All,TA,70,29,41.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,35.7,16,22.9
121954,90265,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,All,All,TA,39,20,51.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25.6,9,23.1
127522,90042,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Optimist Charter,All,All,TA,30,10,33.3,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,8,26.7
134346,90813,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,All,All,TA,32,28,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.5,0,0
138669,90245,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,Da Vinci RISE High,All,All,TA,64,9,14.1,2,22.2,0,0,0,0,1,1.6,0,0,0,0,0,0,0,0,13,20.3,41,64.1
1933399,90032,2019-20,S,19,10199,Los Angeles,Los Angeles County Office of Education,L.A. County High School for the Arts,All,All,TA,134,121,90.3,78,64.5,0,0,19,15.7,1,0.7,0,0,0,0,0,0,0,0,12,9,0,0
