schoolcode,zip,districtcode,districtname,schoolname,cohortstudents,graduates_count,graduates_rate,college_going_rate,completers,enrolled_in_college
100776,91352,10199,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,69,65,94.2,,,
109942,90042,77289,SBE - Los Angeles College Prep Academy,Los Angeles College Prep Academy,37,25,67.6,,,
112128,90255,10199,Los Angeles County Office of Education,Aspire Ollin University Preparatory Academy,78,74,94.9,,,
115030,90746,10199,Los Angeles County Office of Education,Magnolia Science Academy 3,55,53,96.4,,,
115212,91406,10199,Los Angeles County Office of Education,Magnolia Science Academy 2,40,38,95.0,,,
121921,91750,10199,Los Angeles County Office of Education,Afflerbaugh-Paige Camp,70,29,41.4,24.4,41.0,10.0
121954,90265,10199,Los Angeles County Office of Education,Road to Success Academy at Campus Kilpatrick,39,20,51.3,,,
127522,90042,10199,Los Angeles County Office of Education,Optimist Charter,30,10,33.3,,,
134346,90813,10199,Los Angeles County Office of Education,Intellectual Virtues Academy,32,28,87.5,,,
138669,90245,10199,Los Angeles County Office of Education,Da Vinci RISE High,64,9,14.1,,,
1933399,90032,10199,Los Angeles County Office of Education,L.A. County High School for the Arts,134,121,90.3,80.3,132.0,106.0
1995869,91768,10199,Los Angeles County Office of Education,International Polytechnic High,130,126,96.9,86.4,140.0,121.0
1996214,90250,10199,Los Angeles County Office of Education,Renaissance County Community,102,32,31.4,18.0,50.0,9.0
6119945,91335,10199,Los Angeles County Office of Education,Magnolia Science Academy,65,65,100.0,,,
1930056,90703,64212,ABC Unified,Cerritos High,530,509,96.0,79.0,528.0,417.0
1930361,90715,64212,ABC Unified,Artesia High,304,299,98.4,54.1,329.0,178.0
1931880,90703,64212,ABC Unified,Whitney (Gretchen) High,161,160,99.4,88.3,163.0,144.0
1933159,90703,64212,ABC Unified,Gahr (Richard) High,453,446,98.5,66.9,490.0,328.0
100081,93552,64246,Antelope Valley Union High,William J. (Pete) Knight High,673,570,84.7,63.4,618.0,392.0
108407,93535,64246,Antelope Valley Union High,Eastside High,489,443,90.6,58.5,487.0,285.0
111872,93536,64246,Antelope Valley Union High,SOAR High (Students On Academic Rise),97,97,100.0,91.9,99.0,91.0
126003,93536,64246,Antelope Valley Union High,Academies of the Antelope Valley,34,30,88.2,,,
1930213,93535,64246,Antelope Valley Union High,Antelope Valley High,418,353,84.4,50.3,350.0,176.0
1936624,93550,64246,Antelope Valley Union High,Palmdale High,584,459,78.6,55.8,547.0,305.0
1937051,93536,64246,Antelope Valley Union High,Quartz Hill High,755,691,91.5,70.0,694.0,486.0
1995398,93551,64246,Antelope Valley Union High,Highland High,668,578,86.5,62.5,650.0,406.0
1995406,93543,64246,Antelope Valley Union High,Littlerock High,348,271,77.9,57.6,283.0,163.0
1995844,93536,64246,Antelope Valley Union High,Lancaster High,599,522,87.1,66.6,506.0,337.0
1996537,93534,64246,Antelope Valley Union High,Desert Sands Charter,234,26,11.1,,,
1996644,93550,64246,Antelope Valley Union High,R. Rex Parris High,247,37,15.0,32.6,89.0,29.0
1930288,91007,64261,Arcadia Unified,Arcadia High,785,764,97.3,85.7,854.0,732.0
1930528,91702,64279,Azusa Unified,Azusa High,278,243,87.4,53.6,261.0,140.0
1931765,91740,64279,Azusa Unified,Sierra High,112,93,83.0,17.2,58.0,10.0
1933449,91722,64279,Azusa Unified,Gladstone High,276,268,97.1,59.9,279.0,167.0
1930601,91706,64287,Baldwin Park Unified,Baldwin Park High,405,379,93.6,66.3,401.0,266.0
1938166,91706,64287,Baldwin Park Unified,Sierra Vista High,442,426,96.4,72.4,434.0,314.0
