RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
96107,22,90250,Zip,CA,CA,Hawthorne,Los Angeles-Long Beach-Anaheim,Los Angeles County,173716,174029,174386,175022,175632,176072,176411,176465,176291,176045,175951,175935,175250,174320,173381,173074,172734,172663,172957,173771,174711,175526,175960,176610,177977,180053,181880,183117,184384,185257,185576,185810,186676,187985,189550,190592,192125,193169,194538,195566,196566,198312,200430,202221,203255,204370,205753,207207,208464,209805,211488,213291,215629,217592,219497,221259,223402,225059,226783,228617,230515,232431,234141,236456,238390,240527,242216,244352,246276,248951,251701,254709,257509,260652,264018,267556,270646,274363,278401,282753,287009,291717,296678,301567,305862,309890,314318,318444,323645,328048,334110,340311,346914,352123,358250,365018,373493,381233,388818,396900,405983,415260,423585,431356,440679,449752,457495,464532,470877,480140,489043,498684,506164,514291,523109,532112,541264,551075,558479,564407,569435,573386,577891,580215,584704,588128,590188,592057,589783,588593,588161,590012,589890,587837,585784,586349,585384,583499,580210,575602,570642,563334,557636,551176,545188,537368,526426,512930,497615,484153,470870,458852,449548,441572,432047,419855,411898,406949,403970,399656,397174,395517,394538,394645,393758,393360,394821,398680,398445,396391,395893,397370,400419,398824,398689,396695,395957,394482,391264,389207,388499,389038,387389,385721,380810,380366,378365,377372,374943,372618,372403,370362,368717,366363,365080,364679,367160,368750,370638,371849,374935,379257,382813,388670,394059,402374,409967,418236,423702,430053,436426,445062,451135,455594,459530,461822,464507,464120,465248,465395,467281,467847,470963,472139,474633,476122,478641,481348,484459,488356,492152,494012,496886,499867,502415,504592,506976,510830,515426,520894,524806,528407,531190,536807,540611,545066,546428,549866,554032,559991,563665,566764,571438,576359,580637,583742,588619,593063,598804,603570,607145,609126,612974,617410,622542,627742,634279,639336,643776,647569,651623,653772,655663,658031,660721,661656,661519,658944,656697,656955,661596,667250,668788,668857,669090,670604,672334,677188,683048,689999,695563,700915,703189,705364,710779,718817,727463,735541,743234,749477,755645,762708
96027,44,90046,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,172655,173337,173460,173580,173697,173980,174977,175607,176466,177083,177968,178810,179391,179527,180605,182826,184914,186663,187816,189837,191325,193260,195093,197606,200701,203898,206262,207790,210202,212812,214697,216561,219556,223009,225921,227963,229790,232110,234139,236467,237926,240624,244343,247454,249509,250753,253011,255523,258696,260998,264187,266648,269299,270957,272649,274862,277520,280162,282716,285152,287084,289340,291395,294255,296528,298049,298285,298626,298610,299583,300769,303222,305655,308535,310764,313323,316507,321653,328108,333863,339758,345480,351853,356959,361746,365338,370425,374800,379551,382931,387553,393109,398461,402670,407258,412890,420278,428264,436186,445183,455480,464738,472277,479634,489863,500217,508889,517078,523622,531773,538955,546818,552896,561464,570872,580397,588258,596670,602945,607334,611742,615982,621476,624874,629106,631647,633616,635211,634162,634223,635643,640129,643419,644644,643862,643921,643025,641091,637881,634093,630857,625231,620091,615758,612930,610117,604719,598831,591786,586291,579777,574909,572834,573759,575059,570383,566569,564438,567116,568339,569491,574276,583383,592980,601660,606731,610846,614009,615878,615122,614902,616322,623667,622347,617884,608779,598017,589877,582541,583468,583953,585530,585459,585241,580311,578694,577954,584975,592923,599191,602106,603451,606492,609144,610350,612788,617325,625365,633837,633445,633913,637491,649453,661929,672675,687900,704142,720632,733258,744465,756632,772710,787610,797213,804370,808370,817692,822240,829288,834554,841883,848438,853276,859892,866969,879824,892770,907022,918586,931768,945070,956192,971451,986288,1003864,1018663,1034975,1053506,1070531,1089432,1100789,1113854,1124160,1143763,1160085,1179356,1196826,1218110,1238199,1251395,1260450,1270805,1289413,1305047,1321228,1334734,1355948,1373333,1389715,1404253,1420926,1438908,1462219,1484399,1509406,1536654,1566832,1588640,1596452,1602294,1611779,1625172,1637944,1653632,1671533,1683634,1691786,1690485,1691034,1698894,1719779,1740279,1753531,1765121,1782193,1801325,1814145,1827662,1836422,1853901,1869688,1886430,1896281,1908020,1923969,1939310,1949850,1956774,1966135,1978031,1994611,2008581
96015,99,90034,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,260983,261436,261179,261700,261841,263019,263915,264338,264293,263686,264157,264776,265467,265447,266321,267191,268952,269687,270994,273426,276553,280634,282700,285107,287874,292345,296570,300483,304416,307741,310996,314361,318406,322676,328142,333064,337112,339801,343299,345970,347887,350629,354176,356278,357778,359302,361426,363297,366438,369596,371482,373645,377164,382486,386524,391155,394617,397129,399868,402848,405599,407985,411733,416330,419809,420817,422152,424206,428054,433176,437351,441588,445039,449525,453896,459144,464258,471123,478156,485568,491581,498327,505964,513812,521463,529343,537992,544106,550702,556244,565667,575395,586082,594696,605127,616386,628886,638809,649240,663158,680288,696582,708905,719793,732229,743840,752330,759922,766941,779493,789329,799341,804326,811990,820712,830510,841156,852710,862533,870297,878904,884706,892197,895521,902871,905933,907296,906309,901736,899367,896691,896949,893199,888606,884968,885840,884239,880638,874658,868462,861971,852964,847506,843367,841451,835898,823902,808101,792529,784590,778482,773228,769082,766563,760189,745870,734270,730667,731378,730317,726480,724728,725291,731137,734594,736832,741530,751086,758033,757141,759046,763368,773601,773129,771740,767563,765868,763981,756808,752473,748053,747032,743777,741201,735051,732950,730798,725466,720376,713605,715855,716093,717811,717605,716258,716534,719240,724979,729307,732878,737241,748747,757458,767766,774538,788783,805013,822058,835715,846771,860952,881493,900084,909917,915394,919000,926118,924843,923406,920950,921742,924377,928439,924597,920138,917424,924475,931733,941533,952027,964192,971318,980938,990271,993880,999469,1004983,1016992,1024765,1036271,1044277,1056964,1066955,1082195,1093150,1103810,1124154,1148335,1174281,1187920,1195161,1203375,1214790,1223895,1231173,1236944,1248091,1258593,1261821,1264956,1273228,1292243,1319604,1339645,1355020,1369105,1388160,1406883,1418164,1426581,1433389,1437096,1435881,1436149,1435439,1433869,1431762,1424802,1417273,1415525,1428252,1443815,1442512,1438477,1435427,1450229,1462993,1480585,1492867,1508714,1524523,1537594,1540503,1541875,1558082,1577130,1595912,1596582,1596692,1593927,1595844,1597052
96239,112,90805,Zip,CA,CA,Long Beach,Los Angeles-Long Beach-Anaheim,Los Angeles County,137652,137761,137873,138124,138376,138701,139052,139181,139067,138853,138680,138577,137770,136981,136207,136128,136040,135991,135972,136365,136829,137495,137980,138715,140172,141834,143349,144045,144650,144753,144523,144348,144846,145359,146054,146260,146921,147460,148314,148842,149457,150738,152739,154191,155231,156070,157199,158165,159167,160121,161317,162871,164815,166560,167568,168704,169824,171276,172624,174270,175574,176883,178006,179475,180703,182070,183555,185230,186795,188403,190091,192039,194018,196300,198699,201210,203508,206081,208941,212039,215247,218865,222815,226510,229853,232956,236601,239913,243669,247041,251607,256654,261624,265754,270370,275877,282641,289177,295750,303135,311929,320670,328457,335282,343856,352280,359958,366853,373081,381013,388063,395584,401031,407376,414337,422278,430075,438606,445157,450908,456050,460599,465942,469682,475002,479037,482355,484706,484111,483988,484791,486802,486829,485609,483858,483594,481903,480275,476965,473448,469019,463695,458457,452111,445851,437484,426274,412648,397479,384982,371764,357622,344038,331519,319530,306346,296029,288835,284060,279464,276205,271687,268853,268409,269496,269713,270008,271844,272791,272115,272199,272728,274693,273749,273835,272373,271830,271107,269983,269235,268454,268269,266602,265460,262342,262531,261601,260931,258562,256696,256676,256116,255828,255019,254836,255224,256811,258483,259458,261110,263612,268016,271290,276001,279591,285691,291812,298647,304486,310333,317488,324996,331231,334516,337481,339130,342123,342320,343094,342438,342958,343245,344480,344350,344640,345651,348068,350627,353789,357428,360660,362276,364387,366016,367474,369081,371470,374184,376692,380128,382170,384963,387412,392673,396396,400362,402336,405433,409084,413606,416062,417463,419996,422463,425030,426205,428994,431687,435511,438940,441861,443892,448239,452942,457378,461358,465416,468963,471890,474729,477339,478274,478152,478308,478130,477794,477027,475097,473089,473718,477287,481909,483043,483218,483656,486248,488989,492610,496002,500873,505911,510287,512128,513450,517768,524059,531090,536734,542243,547355,553252,559104
96193,114,90650,Zip,CA,CA,Norwalk,Los Angeles-Long Beach-Anaheim,Los Angeles County,147316,147174,147114,146961,146937,146935,147001,146811,146499,146173,146025,145877,145236,144614,144097,144092,143979,143879,143974,144519,145117,145623,145786,146187,147135,148403,149513,150110,150701,151169,151198,151341,151948,152880,153961,154792,155966,156984,158044,159023,159927,161218,162695,163720,164427,165211,166437,167585,168668,169601,170733,171730,172896,174058,175298,176708,178026,179070,180185,181371,182602,183841,185140,186982,188844,190739,192103,193644,195056,197153,198904,201047,203025,205424,208003,210714,213452,216495,220388,224426,228636,232688,237266,241786,245853,249646,253628,257207,260776,263834,268055,272483,277157,280803,285338,290275,296705,302787,309029,316436,325248,333943,341082,347976,356308,365129,372394,379012,384702,392367,399393,406477,411839,418750,426437,434632,442417,451004,458298,464938,471358,476711,482633,486671,492587,496838,500744,503246,502719,501897,501832,503291,502817,501002,499091,499464,498529,496993,493741,489231,483720,476000,468595,460623,453702,445241,434051,420171,405072,391066,377492,365217,355761,348057,339997,329767,321165,315808,311925,307940,303769,301162,299117,299523,298913,299113,300021,302701,303748,302081,302070,302901,306521,306229,306655,304360,303628,302014,299470,297288,295815,296110,294896,294037,290968,290467,289125,288644,287232,285612,285697,285438,285827,285280,284985,285036,286270,287708,289682,291095,293068,296234,299142,303149,305648,310755,315885,322583,327985,333984,339646,346551,352367,356803,360560,363194,367286,368614,370709,370877,372209,372545,373925,374754,375815,377192,379242,381220,383772,386847,390228,391698,393788,395713,397712,399383,401319,403932,406581,410606,413137,415844,416958,420721,423404,426525,428541,431654,435756,439513,441588,442660,444980,447161,449838,451653,454889,457794,461318,464038,466162,467702,471179,474696,478073,481850,485695,488732,490841,493328,495637,496307,495666,495449,495439,495048,494528,492107,489888,489744,492563,495925,496483,496441,497172,498853,500578,503679,506949,511862,516504,520990,523094,524934,529282,535352,541878,547908,553721,558936,564433,569930
96025,115,90044,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,128014,127840,127861,128082,128524,128937,129189,129047,128857,128626,128643,128619,127968,127582,127201,127214,126883,126687,127013,127964,128964,129883,130369,131087,132770,134495,136167,136750,137527,137932,137642,137463,137492,137844,138230,138436,138602,138895,139155,139636,139764,140387,141472,141927,142084,142231,142834,143142,143110,142758,142606,142824,143441,144139,144687,145303,145926,146237,146532,146995,147664,148372,149065,149718,150325,150765,151156,151868,152631,153679,154490,155783,157080,158692,160195,162040,163580,165482,167404,169285,171056,173215,175910,178312,180362,182186,184436,186138,188300,190102,192911,195930,199341,202098,205524,209200,213875,218349,223068,228584,235110,241603,247670,253976,261347,268819,274767,280686,286206,294007,301792,310405,317168,324928,333076,341587,349912,358628,366926,374629,382181,387964,393845,397754,403811,409188,414003,417952,419487,421592,423962,427149,428198,428818,428789,430757,430978,430892,429958,427922,425074,420330,416232,412036,408938,404111,396280,385099,372577,361675,350679,339394,327725,316516,305351,293077,282955,274405,268011,261386,256016,249703,243592,239791,238293,237872,237283,237080,234790,231713,230374,231601,234006,234232,234477,233670,233563,232990,231713,231076,231571,233100,232186,230162,226658,226233,226105,226031,224733,223330,223598,223572,223954,223372,223992,224480,226444,228075,230312,231691,232932,235230,237838,241632,243939,248377,252316,258071,261811,266154,269962,275410,280538,283988,286353,287896,291000,292415,294082,294043,295340,295747,297654,298758,300723,302451,304839,306744,309084,311715,315111,317922,320973,323821,325765,327804,329481,332319,335206,339067,341783,344512,346287,349553,352459,355917,358656,361896,365813,370185,373231,376087,379517,382901,386150,388647,392424,396184,400281,403886,406794,409497,413668,417865,421691,425955,430663,435134,437809,439717,441255,442205,443710,445205,446683,447106,448157,447306,446915,447215,451111,455606,457642,458931,459960,462792,466175,471049,475896,482371,488454,495073,498742,502410,508280,515196,522201,527796,532606,536721,540574,544045
96990,117,92683,Zip,CA,CA,Westminster,Los Angeles-Long Beach-Anaheim,Orange County,202617,203398,203250,203180,202745,202448,202376,202328,202356,202699,202699,203231,203562,203222,203379,203860,205144,206252,207154,207886,208944,209533,210869,211498,212814,214477,216196,217914,219373,221024,222844,225386,227467,229738,231566,233543,235472,237163,239148,240953,242810,244920,246892,248352,249870,251769,254452,257530,259836,262530,265068,268284,271192,274232,277327,280451,283508,287050,290214,293466,296514,299871,302897,305974,308800,311121,313294,315710,319082,322035,324766,327643,330827,334081,337305,341015,345271,350732,357039,363598,369233,374814,380855,388244,394518,400193,404073,409403,414804,419681,424840,431400,440588,450039,460377,466052,474946,485493,500797,513268,526100,540266,552709,561719,566555,572122,577197,585474,592816,598636,605239,612070,620579,625404,633758,642150,653268,660820,667268,676049,681666,688360,689552,694470,696289,698286,696391,697103,696377,697196,694369,690927,690621,690776,689058,683133,676220,671997,664101,654236,639098,627612,620337,610947,598958,581013,569708,556355,545382,532871,524607,517555,514496,507937,498320,488464,481664,481192,477884,475014,472887,470633,470676,469906,471433,473625,479090,483757,485520,484008,482862,486658,489141,490613,486361,483304,480021,477277,472359,468177,466440,465797,464165,459953,454576,452589,452368,451393,447180,444399,443657,444375,441724,438389,436861,436478,438551,439336,443819,449093,455354,460093,463431,466970,474799,485525,497352,507766,517571,526246,530656,534292,538585,543647,549680,554893,558594,559347,557098,556038,554244,554373,554723,555811,557800,559945,562892,564682,566024,568271,571512,575530,578063,580831,584494,588657,592494,595639,596435,600092,602656,606457,608609,609661,613163,614086,617587,619819,621739,623601,627520,630058,634186,635980,639895,642686,645315,649683,651868,654538,657694,661187,665246,669711,673593,677961,680539,685351,689487,695472,698735,700228,698963,699274,699494,698606,696345,694444,693429,693635,696884,700109,704251,705928,709834,712078,713990,715492,720108,725809,731879,735825,737927,739264,742044,748037,753954,760744,768037,776565,783805,790513
96007,136,90026,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,104232,104775,105278,106077,106620,107115,107637,108095,108385,108443,108274,108032,107583,107107,106537,106634,107167,107668,107892,107902,107961,108597,109621,111041,112698,114413,116039,116698,117089,117535,118173,120013,122392,124384,125716,126172,126858,127300,128150,129490,130798,132237,134350,134561,134336,133734,134705,136547,138271,140239,141688,143053,145076,147416,149281,151504,153114,155103,156275,157484,158715,160103,162141,164581,166165,167607,168573,170237,172567,175163,177851,179967,182284,185038,187887,191179,194246,197507,200977,205138,209289,213890,219048,225081,230241,234191,237801,240596,244653,248465,254465,259825,265448,269370,274161,279180,286256,293452,300826,309126,318377,327457,333689,339330,346012,353763,359721,365012,369265,375710,382042,389032,393688,399471,407110,415992,423922,431699,437837,442622,446094,448543,451839,452855,455755,456522,456901,455588,453396,452360,452056,454041,454544,454359,452898,453238,451735,449877,446089,441660,436591,430759,426700,421955,418551,413023,405652,396277,387819,383283,379128,375055,370434,363461,356145,345141,337468,332900,331206,330293,327771,323177,318873,317531,317351,319744,320072,323948,323838,322607,321672,320969,323202,321870,321406,317799,315822,314578,314687,315571,317357,319206,318690,318516,316850,320548,323210,330043,334796,336884,337834,336738,338681,340185,344541,347877,351430,353282,357359,357532,359579,364022,372896,384340,392390,401538,408809,419152,429639,439702,448289,456542,463252,467048,469429,469367,471783,473264,476334,477702,480288,483817,487980,492860,498047,506834,514249,522558,530737,540774,550087,556243,561565,566540,574889,583859,593021,597004,601391,607386,612669,618314,623756,633521,641442,649882,649805,650871,651036,659547,665877,673080,681453,688236,694505,699604,708160,714896,724242,734813,748206,758669,773138,786279,798585,809756,820590,831457,840384,851404,864634,876366,886013,894058,899841,901793,902801,902299,903496,907893,917955,933386,943561,950188,951498,958404,967158,978960,986978,997504,1009356,1020609,1025624,1025477,1028124,1034279,1045202,1052647,1058507,1063800,1072413,1079809
96987,169,92677,Zip,CA,CA,Laguna Niguel,Los Angeles-Long Beach-Anaheim,Orange County,316511,317735,317754,317835,317321,316679,316419,316357,316772,317841,318566,320273,321600,321834,322503,324002,327013,330183,333165,335648,338474,340606,344080,346468,350330,354972,359770,364511,368758,373886,379330,386230,391943,397682,402008,406352,410278,413747,418033,421795,425528,428847,431620,433450,435526,438137,442322,446848,450169,453741,456686,460912,464644,469533,474349,479453,483950,489355,494065,499416,504458,510352,515558,520816,525246,528056,530686,532935,537306,541236,545194,549359,554429,559372,564001,568216,572959,579257,587030,595785,603106,609817,617014,626545,637198,647257,654617,662146,670166,677543,685136,694728,708291,722163,737420,743850,746866,751872,764906,782060,800550,822056,840825,853302,859011,865618,870636,881549,895076,906273,917518,924045,932253,933798,940460,948589,961134,968548,975088,984332,990695,997460,997523,1001450,1000946,1000748,995210,994168,990502,990003,984086,979258,979546,982406,981577,973612,964639,959388,949689,935632,916647,903343,897558,886882,872072,849035,835974,821338,809822,795447,788102,783186,783404,776778,763814,750255,739063,735096,727201,722172,718512,717259,716532,714314,713305,715028,721815,727800,730868,730061,729505,733422,735345,734987,728674,724075,719098,713252,705576,700524,699222,700038,699107,695321,689628,686800,686845,686426,683400,681062,679211,677975,672427,666830,663431,662230,663932,664571,669338,674875,681850,688642,694657,700444,712294,726686,744873,759539,774647,788823,797370,804913,811419,819074,827851,837261,843534,846345,842733,841487,838508,837767,837288,837510,840537,843191,847348,848578,849865,851704,854792,859327,861303,863940,866797,870495,873972,877445,878012,882678,884391,888451,890663,891781,896093,897687,904838,909210,910919,909914,912532,913910,919450,921550,926571,928298,930931,934285,935194,936407,940195,945478,951360,956800,960158,963108,963966,968665,971922,977510,975105,971954,965690,965273,964699,963248,960347,957739,955728,955877,959651,962689,966969,967234,970242,969651,967456,965292,967103,972966,979250,982897,984031,985381,990669,1000260,1009638,1019776,1032020,1045854,1058766,1069897
96047,174,90066,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,248625,250096,250787,252344,253264,254441,255749,256452,256992,256608,256949,257278,257923,257603,257876,258831,260578,262146,263845,266882,269684,273867,276913,280824,284165,288617,292957,297160,301718,305682,309101,312286,317031,321875,326731,330227,334246,337485,340401,342370,344412,347819,351816,354399,355675,356616,358667,360526,362690,364513,366816,368939,370761,372551,373910,376119,378266,381452,384517,388390,391417,395683,400299,406293,412026,416674,420652,424463,427955,430855,433896,437906,442575,446574,450895,455198,459842,465817,473803,481914,490188,497821,506395,513738,520215,526632,533302,539188,544930,549737,555876,563408,570979,578366,585808,594947,606033,616306,626831,639344,654820,669356,680990,690592,703654,716334,727393,736704,744118,755252,763937,773902,780280,790591,802369,814994,825904,837625,845997,852355,858612,863725,870684,871927,874852,872958,870217,866523,860432,856027,854797,856358,855284,850285,846712,848036,849245,849625,847436,843652,838621,831185,824889,819920,817071,813486,803898,789872,773559,763169,755763,751499,747327,742617,734208,719161,707867,702248,700211,698431,696843,695380,692819,691739,693267,697183,703267,712155,716886,716322,717788,720190,726774,723692,721353,716377,712781,707308,698995,693822,690022,689056,686386,683256,675956,674869,674381,674597,671069,666673,666926,666594,667657,667148,667270,669011,673143,678820,683418,686477,692452,704289,716406,730443,741302,757482,771968,788973,802495,814381,827219,847050,866517,878202,884758,888215,893828,893097,894753,895984,900226,906870,918089,920086,918627,917101,925744,934850,946508,959294,975372,984295,999650,1010683,1014055,1014149,1018986,1034798,1047204,1061664,1073501,1089141,1100542,1119985,1133353,1147481,1161546,1179480,1198977,1214665,1227892,1241998,1255587,1268179,1277948,1286587,1295913,1310907,1343446,1386761,1425118,1445040,1463529,1480964,1501816,1520856,1545302,1565157,1582345,1591504,1584371,1573292,1564729,1573853,1582401,1584688,1580124,1567015,1557628,1554262,1563571,1573804,1567261,1557977,1550999,1564236,1574717,1585526,1595431,1613799,1630505,1646091,1650395,1655562,1676672,1698270,1717058,1714825,1714481,1716140,1720251,1721358
