zip,city,county,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90250,Hawthorne,Los Angeles County,175496.25,174246.41666666666,184904.75,199459.33333333334,218407.16666666666,241722.08333333334,277739.0833333333,333077.75,419090.5,519137.0833333333,584379.4166666666,576445.25,481368.6666666667,398747.1666666667,396136.3333333333,379823.8333333333,372409.25,432330.0,470687.0,501405.4166666667,545636.0833333334,595240.5833333334,646392.5,665818.5,713615.75,759176.5
90046,Los Angeles,Los Angeles County,175135.0,187405.25,214114.33333333334,242637.41666666666,271987.1666666667,296312.1666666667,327704.8333333333,386394.3333333333,468173.9166666667,566833.6666666666,628984.25,635322.75,587616.25,584986.5,607400.3333333334,588315.6666666666,627627.6666666666,749164.75,854487.3333333334,998360.5,1188149.3333333333,1381676.9166666667,1606997.6666666667,1748019.5,1913734.25,2001596.0
90034,Los Angeles,Los Angeles County,262943.5833333333,272706.5833333333,309756.1666666667,351412.9166666667,384412.6666666667,422400.0,476366.0833333333,565266.9166666666,697831.8333333334,819111.5,897373.3333333334,872201.5,789990.4166666666,733192.5,763562.5833333334,730854.75,732152.0,854976.5,924020.1666666666,989719.9166666666,1123381.4166666667,1263748.5833333333,1414644.6666666667,1439304.3333333333,1555366.75,1596448.0
90805,Long Beach,Los Angeles County,138491.41666666666,136872.75,144182.75,152110.58333333334,166593.08333333334,183235.33333333334,208686.08333333334,250993.25,324165.6666666667,412292.4166666667,476088.75,474646.9166666667,377961.4166666667,276216.9166666667,272219.8333333333,262020.0,261307.33333333334,312950.1666666667,344499.5,366965.4166666667,400663.3333333333,434646.6666666667,472310.9166666667,481324.25,519825.0,556178.0
90650,Norwalk,Los Angeles County,146735.25,144758.58333333334,151095.91666666666,161769.75,174862.0,191337.91666666666,220191.91666666666,267087.9166666667,337170.75,424271.1666666667,493377.25,489150.5,388799.5,305096.4166666667,303080.4166666667,290336.75,290623.0,336330.0833333333,373699.0,396798.25,428025.0833333333,459284.1666666667,491005.4166666667,495663.4166666667,530950.8333333334,567181.5
90044,Los Angeles,Los Angeles County,128519.91666666667,128234.58333333333,136895.66666666666,140844.08333333334,144546.5,151293.0,166854.25,193044.0,245654.5,329938.6666666667,408240.6666666667,425832.0,355118.5,252198.91666666666,232850.41666666666,227273.25,229996.0,267901.25,297816.3333333333,324022.3333333333,358031.5833333333,398151.1666666667,438094.4166666667,456071.5833333333,507145.5,542309.5
92683,Westminster,Orange County,202777.25,206775.25,222695.16666666666,245777.58333333334,276096.5,312308.9166666667,356084.5,426330.6666666667,538053.8333333334,632338.0833333334,693415.5,659844.6666666666,536305.5,475646.75,482191.75,453907.6666666667,447508.25,521751.0,557962.25,583170.1666666666,616246.3333333334,650665.75,691475.25,703034.9166666666,745016.0833333334,787159.0
90026,Los Angeles,Los Angeles County,106913.58333333333,107975.83333333333,119276.83333333333,131922.16666666666,148208.66666666666,168639.16666666666,200963.66666666666,253199.66666666666,327751.75,405699.1666666667,452995.8333333333,443367.0833333333,382830.75,325027.8333333333,319501.75,325889.3333333333,355977.0,438763.0833333333,490476.3333333333,571958.0,644150.0,726016.75,856240.0833333334,934799.9166666666,1029008.9166666666,1076111.0
92677,Laguna Niguel,Orange County,317505.25,332131.3333333333,377981.0,428844.25,473022.75,528433.5,586460.9166666666,686709.5833333334,819937.5833333334,940592.8333333334,993504.0833333334,944243.25,802435.5833333334,722341.4166666666,723782.25,688752.9166666666,675268.9166666666,783729.1666666666,842068.8333333334,865860.8333333334,900865.75,935543.25,967608.1666666666,963239.5833333334,997487.0833333334,1064331.5
90066,Los Angeles,Los Angeles County,254132.08333333334,265581.0,307295.8333333333,348702.6666666667,374077.0,416509.9166666667,473730.0,555282.3333333334,672363.0833333334,798943.6666666666,864759.3333333334,842074.1666666666,767635.8333333334,699284.1666666666,714357.3333333334,676648.75,686377.8333333334,822380.1666666666,909937.9166666666,1005554.8333333334,1157380.0833333333,1353331.5833333333,1564192.8333333333,1566426.6666666667,1669102.4166666667,1720804.5
92804,Anaheim,Orange County,169375.41666666666,172096.5,184404.16666666666,199403.75,226269.25,256886.5,294804.4166666667,357017.75,456788.75,555211.5,620629.0,593046.5,474252.5,386739.75,393955.9166666667,373390.75,375279.75,443457.75,474964.9166666667,498259.6666666667,534899.75,568649.9166666666,600725.25,610868.1666666666,649358.1666666666,696398.0
90019,Los Angeles,Los Angeles County,168642.08333333334,169725.25,190823.41666666666,219326.08333333334,245760.5,279094.25,324400.8333333333,392968.4166666667,501670.8333333333,610849.0833333334,695638.25,686600.8333333334,602523.8333333334,503554.3333333333,483427.0833333333,461761.0833333333,490415.5833333333,598678.3333333334,666365.75,716165.3333333334,814396.4166666666,901697.6666666666,1039921.4166666666,1122947.3333333333,1231031.9166666667,1271784.0
90280,South Gate,Los Angeles County,147915.75,145225.41666666666,149402.83333333334,156241.83333333334,166227.16666666666,179298.5,202134.83333333334,239276.08333333334,304916.25,391755.3333333333,465733.5833333333,482760.3333333333,388740.9166666667,278046.5,261256.83333333334,254190.83333333334,256964.41666666666,300688.0833333333,332239.8333333333,353706.75,386625.75,418091.5,451374.9166666667,461537.8333333333,498290.5,529612.0
