FIPS,STATE/TERRITORY NAME,COUNTY NAME, LAND AREA (Square Miles) 
01001,Alabama,Autauga County, 594.436 
01003,Alabama,Baldwin County," 1,589.784 "
01005,Alabama,Barbour County, 884.876 
01007,Alabama,Bibb County, 622.582 
01009,Alabama,Blount County, 644.776 
01011,Alabama,Bullock County, 622.805 
01013,Alabama,Butler County, 776.829 
01015,Alabama,Calhoun County, 605.868 
01017,Alabama,Chambers County, 596.531 
01019,Alabama,Cherokee County, 553.700 
01021,Alabama,Chilton County, 692.854 
01023,Alabama,Choctaw County, 913.500 
01025,Alabama,Clarke County," 1,238.465 "
01027,Alabama,Clay County, 603.961 
01029,Alabama,Cleburne County, 560.100 
01031,Alabama,Coffee County, 678.972 
01033,Alabama,Colbert County, 592.619 
01035,Alabama,Conecuh County, 850.156 
01037,Alabama,Coosa County, 650.926 
01039,Alabama,Covington County," 1,030.456 "
01041,Alabama,Crenshaw County, 608.840 
01043,Alabama,Cullman County, 734.841 
01045,Alabama,Dale County, 561.150 
01047,Alabama,Dallas County, 978.695 
01049,Alabama,DeKalb County, 777.093 
01051,Alabama,Elmore County, 618.485 
01053,Alabama,Escambia County, 945.080 
01055,Alabama,Etowah County, 534.991 
01057,Alabama,Fayette County, 627.660 
01059,Alabama,Franklin County, 633.821 
01061,Alabama,Geneva County, 574.408 
01063,Alabama,Greene County, 647.110 
01065,Alabama,Hale County, 643.943 
01067,Alabama,Henry County, 561.750 
01069,Alabama,Houston County, 579.824 
01071,Alabama,Jackson County," 1,077.868 "
01073,Alabama,Jefferson County," 1,111.276 "
01075,Alabama,Lamar County, 604.846 
01077,Alabama,Lauderdale County, 667.697 
01079,Alabama,Lawrence County, 690.678 
01081,Alabama,Lee County, 607.536 
01083,Alabama,Limestone County, 559.936 
01085,Alabama,Lowndes County, 715.911 
01087,Alabama,Macon County, 608.885 
01089,Alabama,Madison County, 801.593 
01091,Alabama,Marengo County, 976.882 
01093,Alabama,Marion County, 742.292 
01095,Alabama,Marshall County, 565.842 
01097,Alabama,Mobile County," 1,229.435 "
01099,Alabama,Monroe County," 1,025.675 "
01101,Alabama,Montgomery County, 784.247 
01103,Alabama,Morgan County, 579.337 
01105,Alabama,Perry County, 719.664 
01107,Alabama,Pickens County, 881.408 
01109,Alabama,Pike County, 672.094 
01111,Alabama,Randolph County, 580.550 
01113,Alabama,Russell County, 641.140 
01115,Alabama,St. Clair County, 631.902 
01117,Alabama,Shelby County, 784.930 
01119,Alabama,Sumter County, 903.887 
01121,Alabama,Talladega County, 736.775 
01123,Alabama,Tallapoosa County, 716.521 
01125,Alabama,Tuscaloosa County," 1,321.755 "
01127,Alabama,Walker County, 791.192 
01129,Alabama,Washington County," 1,080.207 "
01131,Alabama,Wilcox County, 888.498 
01133,Alabama,Winston County, 612.979 
02013,Alaska,Aleutians East Borough," 6,981.943 "
02016,Alaska,Aleutians West Census Area," 4,390.276 "
02020,Alaska,Anchorage Municipality," 1,704.683 "
02050,Alaska,Bethel Census Area," 40,570.004 "
02060,Alaska,Bristol Bay Borough, 503.843 
02068,Alaska,Denali Borough," 12,751.411 "
02070,Alaska,Dillingham Census Area," 18,568.778 "
02090,Alaska,Fairbanks North Star Borough," 7,338.209 "
02100,Alaska,Haines Borough," 2,318.600 "
02105,Alaska,Hoonah-Angoon Census Area," 7,524.915 "
02110,Alaska,Juneau City and Borough," 2,701.931 "
02122,Alaska,Kenai Peninsula Borough," 16,075.331 "
02130,Alaska,Ketchikan Gateway Borough," 4,858.414 "
02150,Alaska,Kodiak Island Borough," 6,549.579 "
02164,Alaska,Lake and Peninsula Borough," 23,652.009 "
02170,Alaska,Matanuska-Susitna Borough," 24,607.898 "
02180,Alaska,Nome Census Area," 22,961.761 "
02185,Alaska,North Slope Borough," 88,695.413 "
02188,Alaska,Northwest Arctic Borough," 35,572.584 "
02195,Alaska,Petersburg Census Area," 3,281.982 "
02198,Alaska,Prince of Wales-Hyder Census Area," 3,922.873 "
02220,Alaska,Sitka City and Borough," 2,870.339 "
02230,Alaska,Skagway Municipality, 452.325 
02240,Alaska,Southeast Fairbanks Census Area," 24,768.808 "
02261,Alaska,Valdez-Cordova Census Area," 34,239.880 "
02270,Alaska,Wade Hampton Census Area," 17,081.433 "
02275,Alaska,Wrangell City and Borough," 2,541.483 "
02282,Alaska,Yakutat City and Borough," 7,649.457 "
02290,Alaska,Yukon-Koyukuk Census Area," 145,504.789 "
04001,Arizona,Apache County," 11,197.521 "
04003,Arizona,Cochise County," 6,165.690 "
04005,Arizona,Coconino County," 18,618.885 "
04007,Arizona,Gila County," 4,757.933 "
04009,Arizona,Graham County," 4,622.597 "
04011,Arizona,Greenlee County," 1,843.126 "
04012,Arizona,La Paz County," 4,499.629 "
04013,Arizona,Maricopa County," 9,200.143 "
04015,Arizona,Mohave County," 13,311.084 "
04017,Arizona,Navajo County," 9,950.422 "
04019,Arizona,Pima County," 9,187.036 "
04021,Arizona,Pinal County," 5,365.612 "
04023,Arizona,Santa Cruz County," 1,236.916 "
04025,Arizona,Yavapai County," 8,123.499 "
04027,Arizona,Yuma County," 5,513.992 "
05001,Arkansas,Arkansas County, 988.770 
05003,Arkansas,Ashley County, 925.349 
05005,Arkansas,Baxter County, 554.283 
05007,Arkansas,Benton County, 847.357 
05009,Arkansas,Boone County, 590.231 
05011,Arkansas,Bradley County, 649.231 
05013,Arkansas,Calhoun County, 628.581 
05015,Arkansas,Carroll County, 630.087 
05017,Arkansas,Chicot County, 644.304 
05019,Arkansas,Clark County, 866.074 
05021,Arkansas,Clay County, 639.465 
05023,Arkansas,Cleburne County, 553.692 
05025,Arkansas,Cleveland County, 597.783 
05027,Arkansas,Columbia County, 766.053 
05029,Arkansas,Conway County, 552.250 
05031,Arkansas,Craighead County, 707.206 
05033,Arkansas,Crawford County, 593.094 
05035,Arkansas,Crittenden County, 609.760 
05037,Arkansas,Cross County, 616.381 
05039,Arkansas,Dallas County, 667.386 
05041,Arkansas,Desha County, 768.152 
05043,Arkansas,Drew County, 828.356 
05045,Arkansas,Faulkner County, 647.884 
05047,Arkansas,Franklin County, 608.857 
05049,Arkansas,Fulton County, 618.194 
05051,Arkansas,Garland County, 677.781 
05053,Arkansas,Grant County, 631.809 
05055,Arkansas,Greene County, 577.699 
05057,Arkansas,Hempstead County, 727.520 
05059,Arkansas,Hot Spring County, 615.202 
05061,Arkansas,Howard County, 588.554 
05063,Arkansas,Independence County, 763.953 
05065,Arkansas,Izard County, 580.577 
05067,Arkansas,Jackson County, 633.938 
05069,Arkansas,Jefferson County, 870.746 
05071,Arkansas,Johnson County, 659.804 
05073,Arkansas,Lafayette County, 528.268 
05075,Arkansas,Lawrence County, 587.614 
05077,Arkansas,Lee County, 602.621 
05079,Arkansas,Lincoln County, 561.517 
05081,Arkansas,Little River County, 532.253 
05083,Arkansas,Logan County, 708.125 
05085,Arkansas,Lonoke County, 770.728 
05087,Arkansas,Madison County, 834.255 
05089,Arkansas,Marion County, 597.009 
05091,Arkansas,Miller County, 625.578 
05093,Arkansas,Mississippi County, 900.574 
05095,Arkansas,Monroe County, 607.122 
05097,Arkansas,Montgomery County, 779.880 
05099,Arkansas,Nevada County, 617.837 
05101,Arkansas,Newton County, 820.896 
05103,Arkansas,Ouachita County, 732.783 
05105,Arkansas,Perry County, 551.402 
05107,Arkansas,Phillips County, 695.663 
05109,Arkansas,Pike County, 600.618 
05111,Arkansas,Poinsett County, 758.389 
05113,Arkansas,Polk County, 857.679 
05115,Arkansas,Pope County, 812.548 
05117,Arkansas,Prairie County, 647.958 
05119,Arkansas,Pulaski County, 759.763 
05121,Arkansas,Randolph County, 652.191 
05123,Arkansas,St. Francis County, 634.771 
05125,Arkansas,Saline County, 723.604 
05127,Arkansas,Scott County, 892.320 
05129,Arkansas,Searcy County, 666.095 
05131,Arkansas,Sebastian County, 531.911 
05133,Arkansas,Sevier County, 565.126 
05135,Arkansas,Sharp County, 604.439 
05137,Arkansas,Stone County, 606.405 
05139,Arkansas,Union County," 1,039.214 "
05141,Arkansas,Van Buren County, 708.143 
05143,Arkansas,Washington County, 941.966 
05145,Arkansas,White County," 1,035.075 "
05147,Arkansas,Woodruff County, 586.791 
05149,Arkansas,Yell County, 929.984 
06001,California,Alameda County, 739.017 
06003,California,Alpine County, 738.332 
06005,California,Amador County, 594.583 
06007,California,Butte County," 1,636.464 "
06009,California,Calaveras County," 1,020.012 "
06011,California,Colusa County," 1,150.731 "
06013,California,Contra Costa County, 715.937 
06015,California,Del Norte County," 1,006.373 "
06017,California,El Dorado County," 1,707.883 "
06019,California,Fresno County," 5,957.991 "
06021,California,Glenn County," 1,313.947 "
06023,California,Humboldt County," 3,567.987 "
06025,California,Imperial County," 4,176.603 "
06027,California,Inyo County," 10,180.879 "
06029,California,Kern County," 8,131.916 "
06031,California,Kings County," 1,389.420 "
06033,California,Lake County," 1,256.464 "
06035,California,Lassen County," 4,541.184 "
06037,California,Los Angeles County," 4,057.884 "
06039,California,Madera County," 2,137.069 "
06041,California,Marin County, 520.306 
06043,California,Mariposa County," 1,448.816 "
06045,California,Mendocino County," 3,506.343 "
06047,California,Merced County," 1,934.972 "
06049,California,Modoc County," 3,917.770 "
06051,California,Mono County," 3,048.982 "
06053,California,Monterey County," 3,280.595 "
06055,California,Napa County, 748.362 
06057,California,Nevada County, 957.772 
06059,California,Orange County, 790.568 
06061,California,Placer County," 1,407.009 "
06063,California,Plumas County," 2,553.043 "
06065,California,Riverside County," 7,206.480 "
06067,California,Sacramento County, 964.644 
06069,California,San Benito County," 1,388.710 "
06071,California,San Bernardino County," 20,056.938 "
06073,California,San Diego County," 4,206.630 "
06075,California,San Francisco County, 46.873 
06077,California,San Joaquin County," 1,391.322 "
06079,California,San Luis Obispo County," 3,298.567 "
06081,California,San Mateo County, 448.408 
06083,California,Santa Barbara County," 2,735.085 "
06085,California,Santa Clara County," 1,290.100 "
06087,California,Santa Cruz County, 445.170 
06089,California,Shasta County," 3,775.402 "
06091,California,Sierra County, 953.214 
06093,California,Siskiyou County," 6,277.887 "
06095,California,Solano County, 821.765 
06097,California,Sonoma County," 1,575.849 "
06099,California,Stanislaus County," 1,494.827 "
06101,California,Sutter County, 602.410 
06103,California,Tehama County," 2,949.709 "
06105,California,Trinity County," 3,179.254 "
06107,California,Tulare County," 4,824.215 "
06109,California,Tuolumne County," 2,220.884 "
06111,California,Ventura County," 1,843.133 "
06113,California,Yolo County," 1,014.689 "
06115,California,Yuba County, 631.839 
08001,Colorado,Adams County," 1,167.653 "
08003,Colorado,Alamosa County, 722.643 
08005,Colorado,Arapahoe County, 798.100 
08007,Colorado,Archuleta County," 1,350.175 "
08009,Colorado,Baca County," 2,554.967 "
08011,Colorado,Bent County," 1,512.861 "
08013,Colorado,Boulder County, 726.289 
08014,Colorado,Broomfield County, 33.034 
08015,Colorado,Chaffee County," 1,013.403 "
08017,Colorado,Cheyenne County," 1,778.276 "
08019,Colorado,Clear Creek County, 395.227 
08021,Colorado,Conejos County," 1,287.391 "
08023,Colorado,Costilla County," 1,226.952 "
08025,Colorado,Crowley County, 787.421 
08027,Colorado,Custer County, 738.625 
08029,Colorado,Delta County," 1,142.050 "
08031,Colorado,Denver County, 153.000 
08033,Colorado,Dolores County," 1,067.051 "
08035,Colorado,Douglas County, 840.248 
08037,Colorado,Eagle County," 1,684.530 "
08039,Colorado,Elbert County," 1,850.847 "
08041,Colorado,El Paso County," 2,126.801 "
08043,Colorado,Fremont County," 1,533.068 "
08045,Colorado,Garfield County," 2,947.563 "
08047,Colorado,Gilpin County, 149.896 
08049,Colorado,Grand County," 1,846.330 "
08051,Colorado,Gunnison County," 3,239.100 "
08053,Colorado,Hinsdale County," 1,117.251 "
08055,Colorado,Huerfano County," 1,591.001 "
08057,Colorado,Jackson County," 1,613.723 "
08059,Colorado,Jefferson County, 764.208 
08061,Colorado,Kiowa County," 1,767.767 "
08063,Colorado,Kit Carson County," 2,160.822 "
08065,Colorado,Lake County, 376.911 
08067,Colorado,La Plata County," 1,692.078 "
