FIPS,State,County_Name,urb_rur,Population_2010,normalized_pop,RUCC_2013,Description
01001,AL,Autauga County,0.00,"54,571",4.737,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
01003,AL,Baldwin County,0.00,"182,265",5.261,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01005,AL,Barbour County,1.00,"27,457",4.439,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01007,AL,Bibb County,0.00,"22,915",4.360,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
01009,AL,Blount County,0.00,"57,322",4.758,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
01011,AL,Bullock County,1.00,"10,914",4.038,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01013,AL,Butler County,1.00,"20,947",4.321,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01015,AL,Calhoun County,0.00,"118,572",5.074,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01017,AL,Chambers County,1.00,"34,215",4.534,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01019,AL,Cherokee County,1.00,"25,989",4.415,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01021,AL,Chilton County,0.00,"43,643",4.640,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
01023,AL,Choctaw County,1.00,"13,859",4.142,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
01025,AL,Clarke County,1.00,"25,833",4.412,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
01027,AL,Clay County,1.00,"13,932",4.144,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
01029,AL,Cleburne County,1.00,"14,972",4.175,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01031,AL,Coffee County,1.00,"49,948",4.699,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01033,AL,Colbert County,0.00,"54,428",4.736,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
01035,AL,Conecuh County,1.00,"13,228",4.121,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
01037,AL,Coosa County,1.00,"11,539",4.062,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01039,AL,Covington County,1.00,"37,765",4.577,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
01041,AL,Crenshaw County,1.00,"13,906",4.143,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
01043,AL,Cullman County,1.00,"80,406",4.905,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01045,AL,Dale County,1.00,"50,251",4.701,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01047,AL,Dallas County,1.00,"43,820",4.642,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
01049,AL,DeKalb County,1.00,"71,109",4.852,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
